SMILESquinone,VoltageQuinone
COc(c1=O)c(OC)c(=O)c(c12)c(=O)c3c(c2=O)cc4c(c3)cccc4,2.845409858
CC=1C(=O)C(=O)C(C)=c(c12)cccc2C,2.846750836
O=c1c(=O)cc(OC)c(c12)c(=O)c3c(c2=O)c(OC)ccc3OC,2.84847495
Cc1ccc(C)c(c12)c(=O)c(=O)c3c4c(c(=O)c(c23)=O)c(C)ccc4C,2.851731611
Clc1ccc(Cl)c(c12)C(=O)C(Cl)=C(Cl)C2=O,2.852114747
NC1C(=O)C(=O)C(N)=c(c=12)cc3c(c2)cccc3,2.852497884
Clc1ccc(Cl)c(c1c23)c=4c(=CC(=O)C(=O)C4)c2c(Cl)ccc3Cl,2.853647293
O=c1ccc(=O)c(c1c23)c(Cl)cc3c(Cl)cc4c2c(=O)ccc4=O,2.854605135
COc1c(=O)c(=O)cc2c(OC)c(OC)c(c3c12)cc(=O)c(=O)c3OC,2.85728709
COc1ccc(OC)c(c1=2)=CC(=O)C(=O)C2,2.857861795
O=c1ccc(=O)c(c2C)c1c(C)c(c23)c(=O)ccc3=O,2.858053363
Clc1ccc(Cl)c(c12)C(Cl)=CC(=O)C2=O,2.863800411
