SMILESquinone,VoltageQuinone
COc1ccc(OC)c(c1c23)c(=O)c(=O)c2c(=O)c4c(c3=O)c(OC)ccc4OC,2.515912458
O=c1c(C)c(C)c(=O)c(c12)c(=O)ccc2=O,3.146555157
c1c(N)ccc(c12)C=CC(=O)C2=O,2.359018056
c1cccc(c2)c1cc(c23)C(=O)c4c(C3=O)cc(Cl)cc4,2.277026843
c1c(Cl)c(Cl)cc(c12)C(=O)C=CC2=O,2.772805489
c1c(=O)c(=O)cc(c(C)c2)c1c(cc3C)c2c(c34)cc(=O)c(=O)c4,3.442911249
O=c1ccc(=O)c(c1c23)c(Cl)c(Cl)c2c(Cl)c4c(c3Cl)c(=O)ccc4=O,2.953262786
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)c(Cl)c(Cl)c2=O,3.672026883
C1=CC(=O)C(=O)c(c1c23)ccc2cc4c(c3)cccc4,2.661504333
COc1cc(OC)cc(c12)C(=O)C(=CC2=O)OC,2.157679819
COC1=CC=C(C(=O)C1=O)OC,2.554417677
O=c1c(=O)cc(OC)c(c12)c(OC)cc(=O)c2=O,3.23735851
Nc1c(N)c(N)c(N)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.563612954
O=c1cc(Cl)c(=O)c(c12)c(Cl)cc(=O)c2=O,3.690034299
Cc1cc(=O)c(=O)c2c(=O)c(=O)c(c3c12)c(C)ccc3C,3.00115485
O=c1c(=O)cc(Cl)c(c12)cc3c(c2)c(Cl)cc(=O)c3=O,3.351533191
Nc1ccc(N)c(c1c23)c(=O)c(=O)c2c(=O)c(N)c(c3=O)N,2.777403127
Cc1c(C)c(=O)c(=O)c(c12)c(C)c(C)c(=O)c2=O,3.217818548
O=C1C(N)=CC(=O)c(c12)cccc2N,2.127412035
Clc1c(=O)c(=O)c(Cl)c(c12)cc3c(c2)c(=O)ccc3=O,3.663981016
ClC1=C(Cl)C(=O)C=CC1=O,3.059008464
COc1cccc(c12)C(=O)c3c(C2=O)c(OC)ccc3,2.016685583
O=c1c(Cl)c(Cl)c(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)c(Cl)c(Cl)c4=O,3.075483334
Cc1ccc(C)c(c12)c(=O)c(=O)c3c2c4c(c(=O)c3=O)c(C)ccc4C,2.732576156
COc(cc1)cc2c1c(=O)c(=O)c(c23)c(=O)c4c(c3=O)cc(cc4)OC,2.918972069
Clc1c(Cl)c(=O)c(=O)c(c12)c(=O)cc(Cl)c2=O,3.734669703
O=c1c(=O)cc(N)c(c12)c(N)cc(=O)c2=O,3.163221595
Clc1c(Cl)cc(Cl)c(c12)C(=O)C=CC2=O,2.749434162
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,3.243680263
O=c1c(=O)c(N)cc(cc2N)c1c(c23)c(N)cc4c3c(=O)c(=O)c(c4)N,2.568593728
O=c1c(C)c(C)c(=O)c(c12)c(=O)c3c(c2=O)cccc3,2.963224336
Nc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.155381
O=C1C=CC(=O)c(c12)cc3c(c2)cc(N)c(c3)N,2.203081496
O=c1c(=O)c(Cl)cc(c12)c(Cl)c(Cl)c(=O)c2=O,3.772408649
COc(c1=O)c(OC)c(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)ccc4=O,2.68813232
Cc(c1)c(C)cc(c12)C(=O)C(=O)C=C2C,2.356719237
COc1cccc(c12)C=CC(=O)C2=O,2.37396038
c1cccc(c2=O)c1c(=O)c(c23)cc4c(c3)c(Cl)c(=O)c(=O)c4Cl,3.582181371
Cc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.221088912
Cc(c1)c(C)cc(c12)C(=O)C=CC2=O,2.422235581
O=c1ccc(=O)c(c(C)c2C)c1c(c23)c(=O)ccc3=O,2.612271291
c1cccc(c1c23)C(=O)C(=O)c2ccc(c3)N,2.174729394
COc1ccc(OC)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)c(OC)ccc4OC,2.602692878
COc(c1=O)cc(=O)c(c12)cc(=O)c(=O)c2,3.302874854
Clc1ccc(Cl)c(c1c23)C(=O)C(=O)c2c(Cl)ccc3Cl,2.679703317
COc1cccc(c12)cc3c(c2)C(=O)C(=O)C=C3,2.350014348
Cc1cc(=O)c(=O)c(c12)c(=O)c3c(c2=O)cccc3,3.186401354
c1c(=O)c(=O)cc(c12)c(=O)c(Cl)c(Cl)c2=O,3.546549675
COc(c1=O)c(OC)c(=O)c(c12)c(=O)c3c(c2=O)cc4c(c3)cccc4,2.845409858
COC1C(=O)C(=O)C(OC)=c(c=12)c(OC)ccc2OC,2.756139051
c1cccc(c12)C(Cl)=C(Cl)C(=O)C2=O,2.820697553
COc1c(OC)c(=O)c(=O)c(c12)c(=O)c3c(c2=O)cccc3,3.06054101
Nc1cccc(c12)c3c(C(=O)C2=O)cccc3,2.248291604
O=C1C(=O)C=CC(Cl)=C1,3.009583854
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)cccc3,2.405952279
O=c1c(Cl)c(Cl)c(=O)c(c12)c(=O)c3c(c2=O)cccc3,3.291572327
O=c1c(N)c(N)c(=O)c(c12)c(=O)c(=O)c(N)c2N,3.045981822
Cc(c1)ccc2C(=O)C(=O)c(c3c12)ccc(C)c3,2.298674056
CC1=CC(=O)C(=O)c(c12)cccc2,2.488709766
O=C1C(=O)C=Cc(c12)cc3c(c2)cccc3,2.430089879
Clc1ccc(Cl)c(c1c23)c(=O)c(=O)c2c(Cl)c(=O)c(=O)c3Cl,3.453639071
Clc1ccc(Cl)c(c12)C(=O)C=CC2=O,2.663036879
C1=C(Cl)C(=O)C(=O)c(c12)cccc2Cl,2.869547459
COC1C(=O)C(=O)C(OC)=c(c=12)ccc(c2)OC,2.763801781
O=c1c(C)c(C)c(=O)c(c12)c(=O)c(=O)cc2C,3.212837773
Cc1cc(=O)c(=O)c(c12)c(=O)c(=O)cc2C,3.295403692
c1c(=O)c(=O)cc(c2Cl)c1c(Cl)c(c23)cc4c(c3)c(=O)ccc4=O,3.656318286
c1c(N)ccc(c12)C(=O)c3c(C2=O)ccc(c3)N,1.856342953
