SMILEScsa,VoltageCSA
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c1c23)ccc2cccc3N,2.730230245
Cc(c1)ccc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)cccc3,2.541002169
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c1c23)ccc2cccc3Cl,2.7724188
CS(=O)(=O)\N=C(C1N)\C(=N/S(=O)(=O)C)C(N)=c(c=12)c(N)c(N)c3c2ccc(c3)N,2.554030988
N#Cc1c(C#N)c(C#N)cc(c12)c3c(c(C#N)c2C#N)C(C#N)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,3.8002478
N#Cc1ccc(C#N)c2cc(C#N)c(c3c12)C=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,3.263377763
CS(=O)(=O)\N=C(\C1N)/C(=N/S(=O)(=O)C)C=c2c=1c(N)c(N)c(c23)cccc3N,2.783793165
Cc1ccc(C)c(c12)/C(=N\S(=O)(=O)C)c3c(C\2=N\S(=O)(=O)C)cc(C)cc3,2.184674329
N#CC1=C(C#N)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c(C#N)c2C#N)c1c(c23)cc(C#N)cc3C#N,3.923297751
Nc1ccc(N)c(c12)/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c3c2cccc3N,2.149103587
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c2OC)c1cc(c23)c(OC)ccc3OC,2.647714396
N#CC1=C(C#N)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c12)c(C#N)cc3c2cc(C#N)cc3,3.664375838
c1cccc(c2C#N)c1c(C#N)c(c23)=CC(=N\S(=O)(=O)C)\C(\C=3C#N)=N\S(=O)(=O)C,3.910475739
Nc1cc(N)cc(C\2=N\S(=O)(=O)C)c1/C(=N/S(=O)(=O)C)c(c23)cc(N)cc3N,1.921202669
