Voltage,SMILES,smiles,Voltage_Binned
2.661504333,C1=CC(=O)C(=O)c(c1c23)ccc2cc4c(c3)cccc4,O=C1C=Cc2c(ccc3cc4ccccc4cc23)C1=O,low
2.504190587,COc1c(OC)cc(OC)c(c12)c(OC)cc3c2/C(=N/S(=O)(=O)C)C(OC)=C(OC)C\3=N/S(=O)(=O)C,COC1=C(OC)/C(=N\S(C)(=O)=O)c2c(cc(OC)c3c(OC)cc(OC)c(OC)c23)/C1=N/S(C)(=O)=O,low
2.331507043,COc(c1)ccc(c12)C(=N/S(=O)(=O)C)\c3c(C\2=N\S(=O)(=O)C)ccc(c3)OC,COc1ccc2c(c1)/C(=N\S(C)(=O)=O)c1ccc(OC)cc1/C2=N/S(C)(=O)=O,low
2.88,OC1=CC=CC2=C(O)C=CC=C21,Oc1cccc2c(O)cccc12,medium
2.4,O=C1C(C#N)=C(C(C(Cl)=C1NC2CCCCC2)=O)NC3CCCCC3,N#CC1=C(NC2CCCCC2)C(=O)C(Cl)=C(NC2CCCCC2)C1=O,low
2.839217344,CS(=O)(=O)\N=C\1C=C(F)C(=N/S(=O)(=O)C)\c2ccc(c3c12)cc(F)c(F)c3,CS(=O)(=O)/N=C1\C(F)=C/C(=N\S(C)(=O)=O)c2c1ccc1cc(F)c(F)cc21,medium
2.42,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C6=C(C(C)C)C=CC=C6C(C)C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4)C1=O,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,low
3.287367333,CS(=O)(=O)/N=C(\C1F)/C(=N\S(=O)(=O)C)C=c(c(F)c2F)c=1c(c23)cc(F)cc3F,CS(=O)(=O)/N=C1/C=c2c(F)c(F)c3c(F)cc(F)cc3c2=C(F)/C1=N\S(C)(=O)=O,medium
1.3,CC(C)(N=NC(C)(C)C(=N)N)C(=N)N,CC(C)(N=NC(C)(C)C(=N)N)C(=N)N,very low
3.3,N#CNC1=C(Cl)C=C(C(Cl)=C1)NC#N,N#CNc1cc(Cl)c(NC#N)cc1Cl,medium
2.416504572,Cc(c1)c(C)c(C)c(cc2C)c1c(c23)C(=N\S(=O)(=O)C)\C(C)=C(C)/C3=N\S(=O)(=O)C,CC1=C(C)/C(=N\S(C)(=O)=O)c2c(c(C)cc3c(C)c(C)c(C)cc23)/C1=N/S(C)(=O)=O,low
3.98,OC1=CC=C(N2C3=CC=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C52)C=C1,Oc1ccc(N2c3ccccc3N(c3ccccc3)c3ccccc32)cc1,high
2.4,O=C1C(C(C(O)=C(C1=O)O)=O)=O,O=c1c(O)c(O)c(=O)c(=O)c1=O,low
2.05,ClC(C(O[Li])=C1O[Li])=C(C(O[Li])=C1Cl)O[Li],[Li]Oc1c(Cl)c(O[Li])c(O[Li])c(Cl)c1O[Li],low
2.853647293,Clc1ccc(Cl)c(c1c23)c=4c(=CC(=O)C(=O)C4)c2c(Cl)ccc3Cl,O=C1C=c2c(c3c(Cl)ccc(Cl)c3c3c(Cl)ccc(Cl)c23)=CC1=O,medium
2.3,CC(C)(C)C1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=C(C(C)(C)C)C=C3,CC(C)(C)c1ccc(-c2nnc(-c3ccc(C(C)(C)C)cc3)nn2)cc1,low
2.622897599,Cc(c1)c(C)cc(c1c23)cc(C)c2C=C(C)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,CC1=Cc2c(C)cc3cc(C)c(C)cc3c2C(=N/S(C)(=O)=O)/C1=N/S(C)(=O)=O,low
2.531282257,Cc1c(C)c(C)cc(c12)cc3c(c2C)C(C)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,CC1=CC(=N\S(C)(=O)=O)/C(=N\S(C)(=O)=O)c2cc3cc(C)c(C)c(C)c3c(C)c21,low
2.52,OC1=C(C2=C(C3=CC=CC=C13)C=CC=C2)O,Oc1c(O)c2ccccc2c2ccccc12,low
2.337370843,O=C1C(=O)C=C(OC)c(c12)cccc2,COC1=CC(=O)C(=O)c2ccccc21,low
2.6,O=C1C=CC(C2=C1C3C4=C(C2C5=C3C(C=CC5=O)=O)C(C=CC4=O)=O)=O,O=C1C=CC(=O)C2=C1C1C3=C(C(=O)C=CC3=O)C2C2=C1C(=O)C=CC2=O,low
1.6,CN(C)C1=CC=C(N(N(C2=C(C(O[Na])=O)C=CC=C2)[Li])[Li])C=C1,[Li]N(c1ccc(N(C)C)cc1)N([Li])c1ccccc1C(=O)O[Na],very low
2.287946233,COC(C1=O)=C(OC)C(=O)c(c12)cccc2,COC1=C(OC)C(=O)c2ccccc2C1=O,low
1.0,CC(C#N)(/N=N/C(C)(C#N)C)C,CC(C)(C#N)/N=N/C(C)(C)C#N,very low
2.016685583,COc1cccc(c12)C(=O)c3c(C2=O)c(OC)ccc3,COc1cccc2c1C(=O)c1c(OC)cccc1C2=O,low
1.927223207,c1c(N)ccc(c12)C(=O)C(N)=C(C2=O)N,NC1=C(N)C(=O)c2cc(N)ccc2C1=O,low
3.1,OC(C(Cl)=C1C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)=C(C(Cl)=C1O)C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F,Oc1c(Cl)c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(O)c(Cl)c1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,medium
